Room_no,Month,Day,Hour,Consumption_kWh,Average_Consumption_kWh,Wastage_kWh
1,1,1,0,3.2,1.33,1.87
1,1,1,1,1.67,1.06,0.61
1,1,1,2,1.78,1.52,0.26
1,1,1,3,3.72,1.9,1.82
1,1,1,4,1.97,1.76,0.21
1,1,1,5,3.01,1.63,1.38
1,1,1,6,2.82,1.12,1.7
1,1,1,7,2.24,0.84,1.4
1,1,1,8,3.21,1.23,1.98
1,1,1,9,1.21,0.72,0.49
1,1,1,10,2.89,1.09,1.8
1,1,1,11,2.65,1.33,1.32
1,1,1,12,2.19,1.75,0.44
1,1,1,13,2.79,1.07,1.72
1,1,1,14,0.9,0.99,0
1,1,1,15,1.85,1.95,0
1,1,1,16,2.03,1.77,0.26
1,1,1,17,2.91,1.16,1.75
1,1,1,18,3.41,1.61,1.8
1,1,1,19,3.27,1.38,1.89
1,1,1,20,0.7,0.62,0.08
1,1,1,21,0.86,0.67,0.19
1,1,1,22,1.7,1.07,0.63
1,1,1,23,0.38,0.85,0
1,1,2,0,1.99,1.94,0.05
1,1,2,1,1.59,1.4,0.19
1,1,2,2,1.91,1.48,0.43
1,1,2,3,2.69,1.12,1.57
1,1,2,4,3.55,1.67,1.88
1,1,2,5,1.38,1.2,0.18
1,1,2,6,2.43,1.63,0.8
1,1,2,7,1.15,1,0.15
1,1,2,8,2.86,1.19,1.67
1,1,2,9,1.33,0.56,0.77
1,1,2,10,0.66,0.69,0
1,1,2,11,0.98,1.27,0
1,1,2,12,2.08,1.79,0.29
1,1,2,13,2.91,1.5,1.41
1,1,2,14,2.24,1.11,1.13
1,1,2,15,2.6,1.63,0.97
1,1,2,16,0.95,1.06,0
1,1,2,17,1.47,1.82,0
1,1,2,18,1.96,1.78,0.18
1,1,2,19,3.21,1.55,1.66
1,1,2,20,3.04,1.75,1.29
1,1,2,21,3.37,1.89,1.48
1,1,2,22,1.88,0.51,1.37
1,1,2,23,3.02,1.31,1.71
1,1,3,0,1.02,1.39,0
1,1,3,1,1.35,0.73,0.62
1,1,3,2,2.75,0.8,1.95
1,1,3,3,2.57,1.64,0.93
1,1,3,4,1.03,0.8,0.23
1,1,3,5,2.87,1.9,0.97
1,1,3,6,0.91,1.26,0
1,1,3,7,1.11,0.86,0.25
1,1,3,8,3.33,1.55,1.78
1,1,3,9,2.37,0.51,1.86
1,1,3,10,2.29,2,0.29
1,1,3,11,1.89,0.92,0.97
1,1,3,12,1.7,1.88,0
1,1,3,13,3.6,1.82,1.78
1,1,3,14,3.29,1.53,1.76
1,1,3,15,0.29,0.78,0
1,1,3,16,2.23,1.23,1
1,1,3,17,1.88,1.97,0
1,1,3,18,1.27,1.16,0.11
1,1,3,19,2.31,1.22,1.09
1,1,3,20,1.99,1.94,0.05
1,1,3,21,1.67,1.84,0
1,1,3,22,3.68,1.7,1.98
1,1,3,23,3.73,1.98,1.75
1,1,4,0,1.53,1.83,0
1,1,4,1,2.75,1.09,1.66
1,1,4,2,2.06,0.85,1.21
1,1,4,3,3.63,2,1.63
1,1,4,4,3.23,1.27,1.96
1,1,4,5,2.57,1.61,0.96
1,1,4,6,2.77,0.97,1.8
1,1,4,7,3.12,1.83,1.29
1,1,4,8,2.05,1.38,0.67
1,1,4,9,2,0.53,1.47
1,1,4,10,3.04,1.27,1.77
1,1,4,11,1.83,0.98,0.85
1,1,4,12,2.88,1.17,1.71
1,1,4,13,0.78,0.76,0.02
1,1,4,14,2.38,1.5,0.88
1,1,4,15,1.86,1.7,0.16
1,1,4,16,1.19,0.76,0.43
1,1,4,17,2.28,1.08,1.2
1,1,4,18,2.58,0.87,1.71
1,1,4,19,1.16,1.14,0.02
1,1,4,20,2.44,1.78,0.66
1,1,4,21,3.93,1.98,1.95
1,1,4,22,2.68,1.86,0.82
1,1,4,23,2.37,0.96,1.41
1,1,5,0,3.75,1.78,1.97
1,1,5,1,2.2,1.27,0.93
1,1,5,2,2.23,0.62,1.61
1,1,5,3,1.34,0.96,0.38
1,1,5,4,2.88,1.07,1.81
1,1,5,5,0.71,0.71,0
1,1,5,6,1.58,1.88,0
1,1,5,7,1.94,1.47,0.47
1,1,5,8,1.39,1.66,0
1,1,5,9,1.7,1.94,0
1,1,5,10,1.6,1.34,0.26
1,1,5,11,2.95,1.68,1.27
1,1,5,12,2.72,1.58,1.14
1,1,5,13,0.79,0.71,0.08
1,1,5,14,1.98,1.88,0.1
1,1,5,15,1.53,0.72,0.81
1,1,5,16,2.87,1.95,0.92
1,1,5,17,0.34,0.64,0
1,1,5,18,3.46,1.95,1.51
1,1,5,19,2.27,0.57,1.7
1,1,5,20,2.78,1.97,0.81
1,1,5,21,0.83,1.3,0
1,1,5,22,1.53,1.42,0.11
1,1,5,23,2.03,1.67,0.36
1,1,6,0,1.86,1.49,0.37
1,1,6,1,1.66,1.35,0.31
1,1,6,2,3.25,1.39,1.86
1,1,6,3,1.45,1.03,0.42
1,1,6,4,1.55,1.26,0.29
1,1,6,5,0.19,0.56,0
1,1,6,6,2.87,1.36,1.51
1,1,6,7,0.82,0.62,0.2
1,1,6,8,0.35,0.62,0
1,1,6,9,0.18,0.65,0
1,1,6,10,1.33,0.64,0.69
1,1,6,11,2.61,1.71,0.9
1,1,6,12,2.33,1.98,0.35
1,1,6,13,1.34,0.54,0.8
1,1,6,14,1.46,1.2,0.26
1,1,6,15,2.93,0.97,1.96
1,1,6,16,3.6,1.88,1.72
1,1,6,17,1.54,0.52,1.02
1,1,6,18,0.51,0.54,0
1,1,6,19,2.65,1.17,1.48
1,1,6,20,3.02,1.78,1.24
1,1,6,21,0.8,1.1,0
1,1,6,22,1.91,1.14,0.77
1,1,6,23,3.5,1.97,1.53
1,1,7,0,1.44,1.24,0.2
1,1,7,1,0.94,0.84,0.1
1,1,7,2,1.48,1.4,0.08
1,1,7,3,1.41,1.86,0
1,1,7,4,2.27,1.5,0.77
1,1,7,5,2.02,0.97,1.05
1,1,7,6,1.58,0.95,0.63
1,1,7,7,2.46,1.71,0.75
1,1,7,8,1.78,1.94,0
1,1,7,9,1.24,1.56,0
1,1,7,10,3.38,1.46,1.92
1,1,7,11,1.52,1.11,0.41
1,1,7,12,2.07,0.61,1.46
1,1,7,13,0.84,1.27,0
1,1,7,14,2.66,0.97,1.69
1,1,7,15,2.16,1.45,0.71
1,1,7,16,2.41,1.69,0.72
1,1,7,17,3.05,1.19,1.86
1,1,7,18,1.34,0.8,0.54
1,1,7,19,1.78,1.34,0.44
1,1,7,20,0.68,1.09,0
1,1,7,21,1.4,1.39,0.01
1,1,7,22,1.96,0.52,1.44
1,1,7,23,1.86,0.79,1.07
1,2,1,0,2.42,1.45,0.97
1,2,1,1,2.16,1.52,0.64
1,2,1,2,2.98,1.08,1.9
1,2,1,3,2.12,1.59,0.53
1,2,1,4,2.8,1.89,0.91
1,2,1,5,1.79,1.73,0.06
1,2,1,6,1.21,0.75,0.46
1,2,1,7,1.5,1.22,0.28
1,2,1,8,1.23,1.07,0.16
1,2,1,9,2.05,1.63,0.42
1,2,1,10,2.94,1.75,1.19
1,2,1,11,2.77,0.91,1.86
1,2,1,12,1.42,0.72,0.7
1,2,1,13,0.91,0.79,0.12
1,2,1,14,1.33,1.22,0.11
1,2,1,15,2.44,1.1,1.34
1,2,1,16,0.63,1.1,0
1,2,1,17,0.51,0.59,0
1,2,1,18,1.75,1.85,0
1,2,1,19,1.92,0.95,0.97
1,2,1,20,1.84,0.59,1.25
1,2,1,21,2.34,1.63,0.71
1,2,1,22,2.99,1.52,1.47
1,2,1,23,2.26,0.78,1.48
1,2,2,0,0.92,0.83,0.09
1,2,2,1,3.73,1.93,1.8
1,2,2,2,1.5,1.89,0
1,2,2,3,3.69,1.78,1.91
1,2,2,4,1.02,0.5,0.52
1,2,2,5,2.61,1.19,1.42
1,2,2,6,0.89,1.15,0
1,2,2,7,3.04,1.98,1.06
1,2,2,8,2.27,0.98,1.29
1,2,2,9,2.06,1.04,1.02
1,2,2,10,2.51,0.9,1.61
1,2,2,11,1.25,1.59,0
1,2,2,12,1.32,1.12,0.2
1,2,2,13,3.42,1.71,1.71
1,2,2,14,2.01,1.83,0.18
1,2,2,15,0.94,0.56,0.38
1,2,2,16,1.45,1.26,0.19
1,2,2,17,2.95,0.99,1.96
1,2,2,18,2.74,0.77,1.97
1,2,2,19,0.58,0.8,0
1,2,2,20,1.49,1.22,0.27
1,2,2,21,0.81,1,0
1,2,2,22,2.32,0.85,1.47
1,2,2,23,2.97,1.73,1.24
1,2,3,0,2.52,1.81,0.71
1,2,3,1,2.38,1.68,0.7
1,2,3,2,3.02,1.64,1.38
1,2,3,3,1.93,1.98,0
1,2,3,4,1.21,1.66,0
1,2,3,5,1.42,1.9,0
1,2,3,6,1.23,1.65,0
1,2,3,7,1.74,0.53,1.21
1,2,3,8,1.69,1.23,0.46
1,2,3,9,1.93,0.52,1.41
1,2,3,10,2.4,1,1.4
1,2,3,11,3.64,1.67,1.97
1,2,3,12,1.98,1.14,0.84
1,2,3,13,3.08,1.39,1.69
1,2,3,14,1.84,1.97,0
1,2,3,15,0.81,1.07,0
1,2,3,16,1.17,0.94,0.23
1,2,3,17,0.75,0.74,0.01
1,2,3,18,2.69,1.79,0.9
1,2,3,19,1.72,1.25,0.47
1,2,3,20,2.45,0.64,1.81
1,2,3,21,0.18,0.6,0
1,2,3,22,2.23,1.23,1
1,2,3,23,3.72,1.99,1.73
1,2,4,0,1.64,1.24,0.4
1,2,4,1,0.22,0.58,0
1,2,4,2,0.91,0.71,0.2
1,2,4,3,3.49,1.77,1.72
1,2,4,4,1.34,1.7,0
1,2,4,5,1.46,1.43,0.03
1,2,4,6,2.44,1.04,1.4
1,2,4,7,2.76,1.15,1.61
1,2,4,8,2.14,0.67,1.47
1,2,4,9,0.94,1.21,0
1,2,4,10,2.84,1.79,1.05
1,2,4,11,1.96,1.46,0.5
1,2,4,12,2.3,1.88,0.42
1,2,4,13,2.55,1.67,0.88
1,2,4,14,1.54,1.04,0.5
1,2,4,15,2.23,1.62,0.61
1,2,4,16,2.5,1.67,0.83
1,2,4,17,1.81,0.77,1.04
1,2,4,18,2.25,1.92,0.33
1,2,4,19,2.43,1.23,1.2
1,2,4,20,1.97,1.67,0.3
1,2,4,21,0.5,0.84,0
1,2,4,22,2.17,1.59,0.58
1,2,4,23,1.29,1.78,0
1,2,5,0,1.16,0.78,0.38
1,2,5,1,0.42,0.68,0
1,2,5,2,1.41,1.28,0.13
1,2,5,3,0.73,1.2,0
1,2,5,4,3.73,1.73,2
1,2,5,5,1.53,1.41,0.12
1,2,5,6,2.65,1.82,0.83
1,2,5,7,2.59,1.32,1.27
1,2,5,8,2.25,1.71,0.54
1,2,5,9,2.46,1.61,0.85
1,2,5,10,2.13,1.5,0.63
1,2,5,11,1.79,0.75,1.04
1,2,5,12,2.14,0.68,1.46
1,2,5,13,1.55,1.54,0.01
1,2,5,14,1.3,1.74,0
1,2,5,15,2.89,1.72,1.17
1,2,5,16,3,1.66,1.34
1,2,5,17,3.06,1.86,1.2
1,2,5,18,1.01,1.16,0
1,2,5,19,2.57,1.9,0.67
1,2,5,20,0.54,0.52,0.02
1,2,5,21,1.84,1.89,0
1,2,5,22,1.95,1.99,0
1,2,5,23,1.51,1.59,0
1,2,6,0,2.37,1.75,0.62
1,2,6,1,1.96,1.86,0.1
1,2,6,2,1.62,0.74,0.88
1,2,6,3,0.77,1.03,0
1,2,6,4,3.18,1.56,1.62
