Room,Month,Day,Hour,MorningFlag,AfternoonFlag,EveningFlag,NightFlag,Consumption_kWh,AverageConsumption_kWh
1,1,1,0,0,0,0,1,0.051,0.28641666666666665
1,1,1,1,0,0,0,1,0.184,0.28641666666666665
1,1,1,2,0,0,0,1,0.212,0.28641666666666665
1,1,1,3,0,0,0,1,0.215,0.28641666666666665
1,1,1,4,0,0,0,1,0.18,0.28641666666666665
1,1,1,5,0,0,0,1,0.237,0.28641666666666665
1,1,1,6,1,0,0,0,0.62,0.28641666666666665
1,1,1,7,1,0,0,0,0.694,0.28641666666666665
1,1,1,8,1,0,0,0,0.363,0.28641666666666665
1,1,1,9,1,0,0,0,0.154,0.28641666666666665
1,1,1,10,1,0,0,0,0.134,0.28641666666666665
1,1,1,11,1,0,0,0,0.221,0.28641666666666665
1,1,1,12,0,1,0,0,0.062,0.28641666666666665
1,1,1,13,0,1,0,0,0.344,0.28641666666666665
1,1,1,14,0,1,0,0,0.225,0.28641666666666665
1,1,1,15,0,1,0,0,0.345,0.28641666666666665
1,1,1,16,0,1,0,0,0.074,0.28641666666666665
1,1,1,17,0,1,0,0,0.218,0.28641666666666665
1,1,1,18,0,0,1,0,0.512,0.28641666666666665
1,1,1,19,0,0,1,0,0.356,0.28641666666666665
1,1,1,20,0,0,1,0,0.221,0.28641666666666665
1,1,1,21,0,0,1,0,0.327,0.28641666666666665
1,1,1,22,0,0,0,1,0.557,0.28641666666666665
1,1,1,23,0,0,0,1,0.368,0.28641666666666665
1,1,2,0,0,0,0,1,0.2,0.3114166666666667
1,1,2,1,0,0,0,1,0.235,0.3114166666666667
1,1,2,2,0,0,0,1,0.062,0.3114166666666667
1,1,2,3,0,0,0,1,0.073,0.3114166666666667
1,1,2,4,0,0,0,1,0.238,0.3114166666666667
1,1,2,5,0,0,0,1,0.049,0.3114166666666667
1,1,2,6,1,0,0,0,0.443,0.3114166666666667
1,1,2,7,1,0,0,0,0.513,0.3114166666666667
1,1,2,8,1,0,0,0,0.529,0.3114166666666667
1,1,2,9,1,0,0,0,0.175,0.3114166666666667
1,1,2,10,1,0,0,0,0.057,0.3114166666666667
1,1,2,11,1,0,0,0,0.091,0.3114166666666667
1,1,2,12,0,1,0,0,0.2,0.3114166666666667
1,1,2,13,0,1,0,0,0.435,0.3114166666666667
1,1,2,14,0,1,0,0,0.403,0.3114166666666667
1,1,2,15,0,1,0,0,0.429,0.3114166666666667
1,1,2,16,0,1,0,0,0.238,0.3114166666666667
1,1,2,17,0,1,0,0,0.109,0.3114166666666667
1,1,2,18,0,0,1,0,0.585,0.3114166666666667
1,1,2,19,0,0,1,0,0.39,0.3114166666666667
1,1,2,20,0,0,1,0,0.415,0.3114166666666667
1,1,2,21,0,0,1,0,0.245,0.3114166666666667
1,1,2,22,0,0,0,1,0.554,0.3114166666666667
1,1,2,23,0,0,0,1,0.806,0.3114166666666667
1,1,3,0,0,0,0,1,0.131,0.29654166666666665
1,1,3,1,0,0,0,1,0.053,0.29654166666666665
1,1,3,2,0,0,0,1,0.195,0.29654166666666665
1,1,3,3,0,0,0,1,0.157,0.29654166666666665
1,1,3,4,0,0,0,1,0.133,0.29654166666666665
1,1,3,5,0,0,0,1,0.105,0.29654166666666665
1,1,3,6,1,0,0,0,0.446,0.29654166666666665
1,1,3,7,1,0,0,0,0.56,0.29654166666666665
1,1,3,8,1,0,0,0,0.584,0.29654166666666665
1,1,3,9,1,0,0,0,0.09,0.29654166666666665
1,1,3,10,1,0,0,0,0.216,0.29654166666666665
1,1,3,11,1,0,0,0,0.155,0.29654166666666665
1,1,3,12,0,1,0,0,0.084,0.29654166666666665
1,1,3,13,0,1,0,0,0.341,0.29654166666666665
1,1,3,14,0,1,0,0,0.405,0.29654166666666665
1,1,3,15,0,1,0,0,0.309,0.29654166666666665
1,1,3,16,0,1,0,0,0.122,0.29654166666666665
1,1,3,17,0,1,0,0,0.243,0.29654166666666665
1,1,3,18,0,0,1,0,0.397,0.29654166666666665
1,1,3,19,0,0,1,0,0.331,0.29654166666666665
1,1,3,20,0,0,1,0,0.514,0.29654166666666665
1,1,3,21,0,0,1,0,0.472,0.29654166666666665
1,1,3,22,0,0,0,1,0.582,0.29654166666666665
1,1,3,23,0,0,0,1,0.492,0.29654166666666665
1,1,4,0,0,0,0,1,0.237,0.2929583333333333
1,1,4,1,0,0,0,1,0.204,0.2929583333333333
1,1,4,2,0,0,0,1,0.16,0.2929583333333333
1,1,4,3,0,0,0,1,0.174,0.2929583333333333
1,1,4,4,0,0,0,1,0.232,0.2929583333333333
1,1,4,5,0,0,0,1,0.129,0.2929583333333333
1,1,4,6,1,0,0,0,0.602,0.2929583333333333
1,1,4,7,1,0,0,0,0.515,0.2929583333333333
1,1,4,8,1,0,0,0,0.461,0.2929583333333333
1,1,4,9,1,0,0,0,0.072,0.2929583333333333
1,1,4,10,1,0,0,0,0.238,0.2929583333333333
1,1,4,11,1,0,0,0,0.124,0.2929583333333333
1,1,4,12,0,1,0,0,0.221,0.2929583333333333
1,1,4,13,0,1,0,0,0.289,0.2929583333333333
1,1,4,14,0,1,0,0,0.299,0.2929583333333333
1,1,4,15,0,1,0,0,0.385,0.2929583333333333
1,1,4,16,0,1,0,0,0.052,0.2929583333333333
1,1,4,17,0,1,0,0,0.084,0.2929583333333333
1,1,4,18,0,0,1,0,0.279,0.2929583333333333
1,1,4,19,0,0,1,0,0.461,0.2929583333333333
1,1,4,20,0,0,1,0,0.454,0.2929583333333333
1,1,4,21,0,0,1,0,0.308,0.2929583333333333
1,1,4,22,0,0,0,1,0.609,0.2929583333333333
1,1,4,23,0,0,0,1,0.442,0.2929583333333333
1,1,5,0,0,0,0,1,0.077,0.3145
1,1,5,1,0,0,0,1,0.22,0.3145
1,1,5,2,0,0,0,1,0.194,0.3145
1,1,5,3,0,0,0,1,0.176,0.3145
1,1,5,4,0,0,0,1,0.125,0.3145
1,1,5,5,0,0,0,1,0.095,0.3145
1,1,5,6,1,0,0,0,0.681,0.3145
1,1,5,7,1,0,0,0,0.557,0.3145
1,1,5,8,1,0,0,0,0.486,0.3145
1,1,5,9,1,0,0,0,0.129,0.3145
1,1,5,10,1,0,0,0,0.079,0.3145
1,1,5,11,1,0,0,0,0.064,0.3145
1,1,5,12,0,1,0,0,0.189,0.3145
1,1,5,13,0,1,0,0,0.36,0.3145
1,1,5,14,0,1,0,0,0.361,0.3145
1,1,5,15,0,1,0,0,0.399,0.3145
1,1,5,16,0,1,0,0,0.203,0.3145
1,1,5,17,0,1,0,0,0.197,0.3145
1,1,5,18,0,0,1,0,0.376,0.3145
1,1,5,19,0,0,1,0,0.557,0.3145
1,1,5,20,0,0,1,0,0.489,0.3145
1,1,5,21,0,0,1,0,0.494,0.3145
